epoch,classification_loss,mmd_loss,mmd_median_squared_distance,mmd_off_diagonal_zero_count,domain_loss,domain_accuracy,grl_strength,gradient_norm,gradient_norm_after_clipping,gradient_clipped_fraction,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1
1,0.9127776978220394,0.0,0.0,0.0,8.058163098959213,0.5203014316235451,0.08261060619425821,215.8293486868431,17.26536603149154,0.6042553191489362,0.7664670658682635,0.709343232909419,0.6609756097560976,0.5781855155429213,0.5927505330490405,0.52719788187969,0.6733977362244672,0.6049088767773435
2,135.5606231032534,0.0,0.0,0.0,529.3782265521111,0.427748238152646,0.24408743014437986,45814.49924777214,20.000000044794977,1.0,0.6077844311377245,0.4526667435385184,0.3853658536585366,0.33561829503689794,0.326226012793177,0.32735255925574114,0.4397920991964794,0.3718791992770525
3,107.61477100138968,0.0,0.0,0.0,328.386428966928,0.5109042692691722,0.3931000373577079,42061.749417122046,19.99999996275761,1.0,0.6227544910179641,0.4493989706954046,0.4634146341463415,0.3839345934777748,0.4925373134328358,0.39597169109855335,0.5262354795323804,0.40976841842391093
4,404.40101286705504,0.0,0.0,0.0,686.1050997145633,0.5034574622803546,0.5240079056454343,312667.4595049997,19.999999933825425,1.0,0.4101796407185629,0.22273185971816106,0.2707317073170732,0.11978768798767403,0.3091684434968017,0.14064668709699135,0.3300265971774793,0.16105541160094214
5,3319.8842874486395,0.0,0.0,0.0,5734.51175835792,0.4940602998784248,0.63412434605169,6695938.484597672,20.00000006585618,1.0,0.1317365269461078,0.06362666205185889,0.14146341463414633,0.06251207729468598,0.14498933901918976,0.036657681940700806,0.1393964268664813,0.05426547376241523
6,11746.594111535904,0.0,0.0,0.0,20415.65590093085,0.4991134903532393,0.7234129871535846,40455498.998820186,19.999999973797706,1.0,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.05066996495567924
