epoch,classification_loss,mmd_loss,mmd_median_squared_distance,mmd_off_diagonal_zero_count,domain_loss,domain_accuracy,grl_strength,gradient_norm,gradient_norm_after_clipping,gradient_clipped_fraction,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1
1,1.7696616274245243,0.1847230485145082,6.873105186420528,0.0,0.0,0.0,0.0,24.42190942976329,14.991068367843361,0.41702127659574467,0.4221556886227545,0.19255320305788448,0.2048780487804878,0.09598420013166556,0.14285714285714285,0.05982730079191088,0.2566302934201284,0.1161215679938203
2,1.7923657513679343,0.20933851485556745,0.0001618377278801029,0.0,0.0,0.0,0.0,111.47198005663756,19.652227027695297,0.9319148936170213,0.4221556886227545,0.194480737362532,0.16585365853658537,0.0624400871459695,0.1279317697228145,0.0384493074338169,0.23864703896071812,0.09845671064743948
3,1.7749237182292532,0.19534923878121882,2.538767425903643e-05,0.0,0.0,0.0,0.0,112.65354484457603,19.859446258019737,0.9659574468085106,0.41916167664670656,0.1934640522875817,0.14634146341463414,0.03915925344496773,0.1257995735607676,0.034988937613439144,0.23043423787403614,0.08920408111532953
4,1.808154953287003,0.1772093985943084,2.372625608737711e-05,0.0,0.0,0.0,0.0,162.78412975432457,19.872535992660502,0.9787234042553191,0.16766467065868262,0.041025641025641026,0.14390243902439023,0.035942735303076456,0.12366737739872068,0.0314448359989157,0.14507816236059787,0.03613773744254439
5,1.9352735138954,0.20136156386517465,4.2942082735465944e-07,0.0,0.0,0.0,0.0,181.01964313702422,19.89729237374047,0.9744680851063829,0.12275449101796407,0.03123809523809524,0.12439024390243902,0.03160830492717694,0.19402985074626866,0.04642857142857143,0.14705819522222394,0.036424990531281204
6,1.9269887371266141,0.19490314037241835,4.03646789836325e-06,0.0,0.0,0.0,0.0,107.8557833701696,19.738163961842016,0.9361702127659575,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.05066996495567924
