epoch,classification_loss,mmd_loss,mmd_median_squared_distance,mmd_off_diagonal_zero_count,domain_loss,domain_accuracy,grl_strength,gradient_norm,gradient_norm_after_clipping,gradient_clipped_fraction,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1
1,2.241830090258984,0.1748327874122782,0.030241938304335293,0.0,0.0,0.0,0.0,404.61635344957233,19.999999999331877,1.0,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.05066996495567924
2,2.8780387979872684,0.1583137370170431,4.1507154202780296e-07,0.0,0.0,0.0,0.0,1149.1828402584706,19.99999983271084,1.0,0.11077844311377245,0.02849441663457836,0.09024390243902439,0.023649728347714925,0.057569296375266525,0.01555299539170507,0.08619721397602113,0.02256571345799945
3,3.1050766554284603,0.1662708140434103,1.938492602749754e-08,0.0,0.0,0.0,0.0,1526.5457858564748,20.00000007142618,1.0,0.12275449101796407,0.03123809523809524,0.12439024390243902,0.03160830492717694,0.19402985074626866,0.04642857142857143,0.14705819522222394,0.036424990531281204
4,3.046279128054355,0.18072227315699801,3.803315437530328e-09,0.0,0.0,0.0,0.0,1477.3485715374304,20.00000001361895,1.0,0.11976047904191617,0.030557677616501144,0.0975609756097561,0.025396825396825397,0.13859275053304904,0.034777956126270736,0.11863806839490709,0.030244153046532423
5,3.1473756206796524,0.1864205816958813,1.476810040923482e-09,0.0,0.0,0.0,0.0,1620.4299275763478,19.99999976924243,1.0,0.12275449101796407,0.03123809523809524,0.12439024390243902,0.03160830492717694,0.19402985074626866,0.04642857142857143,0.14705819522222394,0.036424990531281204
6,3.3723455221094985,0.18064461261668105,1.071434732543351e-09,0.0,0.0,0.0,0.0,1526.5036836133813,19.999999933430264,1.0,0.11976047904191617,0.030557677616501144,0.0975609756097561,0.025396825396825397,0.13859275053304904,0.034777956126270736,0.11863806839490709,0.030244153046532423
