epoch,learning_rate,loss,known_ce,classifier_placeholder,data_placeholder,validation_accuracy
1,0.001,0.6248821037956792,0.0801990744100613,0.2135867163369119,3.310963070630348,0.9496
2,0.0009990133642141358,0.35539665941329424,0.10955310122579591,0.0221876916701128,2.236558613953767,0.9474
3,0.000996057350657239,0.337083857283633,0.1071066010287005,0.015911483203201553,2.140657693232566,0.9486
4,0.0009911436253643444,0.3267063441609385,0.10519768365597792,0.013147390890664865,2.083612664472683,0.9456
5,0.0009842915805643156,0.3208226084794074,0.10308826742348848,0.0116282671018692,2.061060716963222,0.9456
6,0.0009755282581475769,0.3141592981723639,0.10229139949096913,0.010642336165410417,2.012255592903181,0.948
7,0.0009648882429441258,0.298522468730595,0.10152419886825091,0.010343919681952975,1.8665434699452501,0.946
8,0.0009524135262330099,0.2431955375307985,0.09317843465299008,0.01180497319318163,1.382121268925164,0.9432
9,0.0009381533400219318,0.14619764346003192,0.06280782542316153,0.016699060633184225,0.6669075579894574,0.944
10,0.0009221639627510075,0.09779023119060062,0.043399461032955396,0.016596240004752776,0.3779452940677306,0.9308
11,0.0009045084971874736,0.08541295236968927,0.03423422919665901,0.014218329048670425,0.36960393481190046,0.9332
12,0.0008852566213878945,0.2823811191057208,0.09130712005275267,0.010424832703328116,1.8064916288941844,0.9372
13,0.0008644843137107056,0.10675440449002292,0.048127006654471075,0.014852581011062418,0.43774816260123867,0.9384
14,0.0008422735529643443,0.08498629685650524,0.03508592555379002,0.013933562903142299,0.3596680779699926,0.9324
15,0.0008187119948743448,0.06765631783721793,0.030527370743071422,0.013496547358964923,0.2363239946507151,0.933
16,0.0007938926261462366,0.10954902531244816,0.03413593671563217,0.012349716155521806,0.6306337127913098,0.9418
17,0.0007679133974894982,0.08570170849880092,0.03734694832824489,0.01085552626270854,0.37499233142093374,0.9284
18,0.0007408768370508576,0.06160136980622837,0.025980108312763636,0.011287324299022258,0.24333936930700414,0.9102
19,0.0007128896457825362,0.045367959234067515,0.020726415380421612,0.010319857533087163,0.14321686057878016,0.9182
20,0.0006840622763423389,0.0603782409971893,0.02257369635918541,0.010135459995555275,0.2766908377600022,0.9258
21,0.0006545084971874735,0.06778554085037138,0.02714127140581353,0.01016674322498023,0.30477525771428376,0.8694
22,0.0006243449435824271,0.048288729675963225,0.019321496440548758,0.009552066153355814,0.1941516657818926,0.9146
23,0.0005936906572928622,0.03781726235454833,0.01659914876395396,0.008902772067730286,0.12315341450295217,0.918
24,0.000562666616782152,0.050459630025863816,0.016664342325249756,0.0074434487143812695,0.26351838659739224,0.9056
25,0.0005313952597646566,0.06210522837087809,0.021211360091677844,0.00772607599138322,0.33167791851077155,0.895
26,0.0004999999999999998,0.039071074596730905,0.017069946592434857,0.007243233957749783,0.14757893628247104,0.8824
27,0.00046860474023534314,0.03568763507163932,0.0149585067890213,0.008083464307816661,0.12645663499057377,0.916
28,0.00043733338321784774,0.036229713023918815,0.014996374734382853,0.0078035916222997034,0.13429746488931765,0.8658
29,0.00040630934270713756,0.043229024769722395,0.015736088807431933,0.0073795518499568235,0.20113383802158116,0.8256
30,0.00037565505641757246,0.029583691048868363,0.013828404146270493,0.007051525244149684,0.08703761335536625,0.8722
31,0.00034549150281252633,0.030154992184174535,0.012792067117378795,0.0071644665443861165,0.10198458332695767,0.8306
32,0.00031593772365766105,0.028908006962325074,0.011411126304359476,0.006294151934585468,0.11202728399141901,0.8856
33,0.00028711035421746355,0.02965807951747989,0.012077364753507226,0.0065403436337122724,0.1104037107984692,0.9134
34,0.0002591231629491422,0.0193701657556804,0.00962780720217318,0.005996965224777702,0.037453933934710304,0.8734
35,0.00023208660251050145,0.028183384351379258,0.010903078622909056,0.0064475933611233775,0.10832712293318619,0.8618
36,0.00020610737385376337,0.021956770211203486,0.011158330096701356,0.006418579350228281,0.04379860622452789,0.881
37,0.00018128800512565502,0.03565646783101168,0.012359857143292952,0.006172277987868315,0.17124332147159552,0.8744
38,0.00015772644703565555,0.01820347904150727,0.01000532708356311,0.005761278800512438,0.024368731618097366,0.9134
39,0.00013551568628929425,0.03426196768036128,0.010694260762054526,0.005732865960329262,0.1783484064965931,0.8826
40,0.00011474337861210535,0.018027539284066682,0.008633892296646267,0.005072581531357901,0.04321065448765826,0.9232
41,9.549150281252626e-05,0.019533270220418175,0.009387405855883645,0.005526870388293538,0.046189937732604325,0.8744
42,7.783603724899252e-05,0.023186408279150555,0.009032315999120898,0.005353457419111518,0.0880063458311337,0.9098
43,6.184665997806817e-05,0.017910995775372043,0.009055211906589334,0.005547307855569017,0.03308475962136885,0.893
44,4.7586473766990294e-05,0.018356475492201724,0.00872111707750676,0.005672733962106017,0.03962624449537605,0.9188
45,3.5111757055874305e-05,0.017564547912846517,0.008673723279617919,0.005159379638455532,0.03731444985353709,0.8998
46,2.4471741852423218e-05,0.017629433075693087,0.00872808746645954,0.005521543884511899,0.033798016018719755,0.9056
47,1.5708419435684507e-05,0.019380767552442106,0.008071142825247598,0.0053323559626204595,0.059772687284886154,0.89
48,8.856374635655634e-06,0.01829228855727872,0.008919581934077363,0.0053493569981826845,0.040233495677065134,0.8742
49,3.942649342761115e-06,0.01620862282483581,0.008019073546580185,0.005156137420665844,0.03033411785949584,0.8946
50,9.866357858642198e-07,0.015357456769677478,0.007978223522254756,0.005197886014065341,0.021813472146513285,0.9034
