run_id,true_class,most_confused_with,count,total_errors
dan_10,dog,person,772,772
dan_10,elephant,person,740,740
dan_10,giraffe,person,753,753
dan_10,guitar,person,608,608
dan_10,horse,person,816,816
dan_10,house,person,80,80
dan_10,person,dog,0,0
