run_id,method,protocol_version,selected_epoch,photo_source_accuracy,photo_source_macro_f1,art_painting_source_accuracy,art_painting_source_macro_f1,cartoon_source_accuracy,cartoon_source_macro_f1,mean_source_accuracy,mean_source_macro_f1,target_accuracy,target_macro_f1,target_accuracy_change_vs_source_only,domain_separability
source_only,Source-only,v3,4,0.9730538922155688,0.9681339341150288,0.9097560975609756,0.9119171075935996,0.9402985074626866,0.947827661029101,0.9410361657464104,0.9426262342459099,0.6200050903537796,0.6573709658779567,0.0,0.9958791208791209
dan_1,DAN lambda=1,v3,10,0.9670658682634731,0.9604634885520617,0.9024390243902439,0.9017287297739242,0.9402985074626866,0.9433013371584363,0.9366011333721346,0.9351645184948074,0.7582081954695852,0.7076016045384376,0.13820310511580558,0.9010989010989011
dann,DANN,v4,9,0.9670658682634731,0.9645332198912147,0.9097560975609756,0.9105336987673406,0.9424307036247335,0.9475555113060642,0.939750889816394,0.9408741433215398,0.6907610078900484,0.7115469154002205,0.07075591753626875,0.9917582417582418
cdan,CDAN,v4,6,0.9580838323353293,0.9491753155618702,0.9121951219512195,0.9173720174449693,0.9616204690831557,0.9657419451267655,0.9439664744565682,0.9440964260445351,0.7202850598116569,0.746394153116263,0.10027996945787732,0.9931318681318682
