run_id,method,mmd_lambda,best_epoch,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1,target_accuracy,target_macro_f1,domain_separability,target_accuracy_change_vs_source_only
source_only,source_only,,7,0.9550898203592815,0.9489766628974277,0.9243902439024391,0.9213207620062532,0.9509594882729211,0.9571671755963816,0.9434798508448804,0.9424882001666876,0.6897429371341308,0.7124984290308822,0.9966777408637874,0.0
dan_0p1,dan,0.1,15,0.9790419161676647,0.975020408358935,0.9365853658536586,0.9379945003516469,0.9658848614072495,0.9693801616512887,0.9605040478095243,0.9607983567872903,0.7047594807839145,0.6546291280461862,0.8289036544850499,0.015016543649783665
dan_1,dan,1.0,6,0.9670658682634731,0.9613432102473852,0.9146341463414634,0.9139472722022591,0.9488272921108742,0.9539898026950617,0.9435091022386036,0.9430934283815686,0.6925426317129041,0.6399983671324251,0.8106312292358804,0.0027996945787732708
dan_10,dan,10.0,1,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.05066996495567924,0.04072283023670145,0.011179820424134438,0.5299003322259136,-0.6490201068974294
dann,dann,,11,0.4341317365269461,0.2658715280053107,0.348780487804878,0.25541837297405723,0.4861407249466951,0.463711561980249,0.4230176497595064,0.32833382098653896,0.20514125731738356,0.1100706328359945,0.9950166112956811,-0.4846016798167473
cdan,cdan,,2,0.9610778443113772,0.9533275760631066,0.8317073170731707,0.837527311061603,0.9189765458422174,0.9285938566549854,0.9039205690755884,0.9064829145932317,0.6864342071773988,0.7124209689681292,0.9983388704318937,-0.003308729956732037
