run_id,class,support,accuracy,source_only_accuracy,accuracy_change
source_only,dog,772,0.6865284974093264,0.6865284974093264,0.0
source_only,elephant,740,0.7108108108108108,0.7108108108108108,0.0
source_only,giraffe,753,0.4077025232403719,0.4077025232403719,0.0
source_only,guitar,608,0.9046052631578947,0.9046052631578947,0.0
source_only,horse,816,0.7230392156862745,0.7230392156862745,0.0
source_only,house,80,0.9125,0.9125,0.0
source_only,person,160,0.8375,0.8375,0.0
dan_0p1,dog,772,0.5181347150259067,0.6865284974093264,-0.16839378238341973
dan_0p1,elephant,740,0.7905405405405406,0.7108108108108108,0.0797297297297298
dan_0p1,giraffe,753,0.7264276228419655,0.4077025232403719,0.3187250996015936
dan_0p1,guitar,608,0.868421052631579,0.9046052631578947,-0.03618421052631571
dan_0p1,horse,816,0.5968137254901961,0.7230392156862745,-0.12622549019607843
dan_0p1,house,80,1.0,0.9125,0.08750000000000002
dan_0p1,person,160,0.8875,0.8375,0.04999999999999993
dan_1,dog,772,0.44689119170984454,0.6865284974093264,-0.23963730569948188
dan_1,elephant,740,0.8148648648648649,0.7108108108108108,0.1040540540540541
dan_1,giraffe,753,0.6586985391766268,0.4077025232403719,0.2509960159362549
dan_1,guitar,608,0.881578947368421,0.9046052631578947,-0.023026315789473673
dan_1,horse,816,0.6593137254901961,0.7230392156862745,-0.06372549019607843
dan_1,house,80,1.0,0.9125,0.08750000000000002
dan_1,person,160,0.76875,0.8375,-0.06874999999999998
dan_10,dog,772,0.0,0.6865284974093264,-0.6865284974093264
dan_10,elephant,740,0.0,0.7108108108108108,-0.7108108108108108
dan_10,giraffe,753,0.0,0.4077025232403719,-0.4077025232403719
dan_10,guitar,608,0.0,0.9046052631578947,-0.9046052631578947
dan_10,horse,816,0.0,0.7230392156862745,-0.7230392156862745
dan_10,house,80,0.0,0.9125,-0.9125
dan_10,person,160,1.0,0.8375,0.16249999999999998
dann,dog,772,0.0,0.6865284974093264,-0.6865284974093264
dann,elephant,740,0.8378378378378378,0.7108108108108108,0.12702702702702706
dann,giraffe,753,0.1248339973439575,0.4077025232403719,-0.28286852589641437
dann,guitar,608,0.019736842105263157,0.9046052631578947,-0.8848684210526315
dann,horse,816,0.04534313725490196,0.7230392156862745,-0.6776960784313726
dann,house,80,0.0125,0.9125,-0.9
dann,person,160,0.2625,0.8375,-0.575
cdan,dog,772,0.1489637305699482,0.6865284974093264,-0.5375647668393783
cdan,elephant,740,0.9797297297297297,0.7108108108108108,0.26891891891891895
cdan,giraffe,753,0.8857901726427623,0.4077025232403719,0.4780876494023904
cdan,guitar,608,0.868421052631579,0.9046052631578947,-0.03618421052631571
cdan,horse,816,0.5649509803921569,0.7230392156862745,-0.15808823529411764
cdan,house,80,1.0,0.9125,0.08750000000000002
cdan,person,160,0.75625,0.8375,-0.08125000000000004
