epoch,classification_loss,mmd_loss,mmd_median_squared_distance,mmd_off_diagonal_zero_count,domain_loss,domain_accuracy,grl_strength,adversarial_feature_norm_before,adversarial_feature_norm_after,gradient_norm,gradient_norm_after_clipping,gradient_clipped_fraction,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1
1,0.4605197290949365,0.0,0.0,0.0,0.6035790341965696,0.7756205860604631,0.08261060619425821,44.74994869637997,1.0,11.368093062330445,11.214745170427571,0.04680851063829787,0.9520958083832335,0.9473075784850054,0.8707317073170732,0.8692601085671147,0.8955223880597015,0.9004993964986253,0.9061166345866694,0.9056890278502485
2,0.23917113037661036,0.0,0.0,0.0,0.665769810499029,0.6181737750768661,0.24408743014437986,50.87333985998276,1.0,9.711746393286202,9.593524895283775,0.0425531914893617,0.937125748502994,0.9270557945857248,0.8536585365853658,0.8578640020776876,0.8805970149253731,0.8917905054630574,0.890460433337911,0.89223676737549
3,0.15953560758758575,0.0,0.0,0.0,0.726332677678859,0.4546985945168962,0.3931000373577079,61.1371521970059,1.0,7.765347074693705,7.704877978676306,0.02127659574468085,0.9520958083832335,0.9432573758472855,0.8878048780487805,0.8865812003789387,0.9147121535181236,0.922766052500365,0.9182042799833793,0.9175348762421964
4,0.1290625654998176,0.0,0.0,0.0,0.6709578870458806,0.6027482449374301,0.5240079056454343,63.58394580597573,1.0,7.32468735200616,7.284856113011719,0.02127659574468085,0.9431137724550899,0.9338893089116915,0.9170731707317074,0.9208616946962812,0.929637526652452,0.9360000738893424,0.9299414899464163,0.9302503591657718
5,0.11259975989430925,0.0,0.0,0.0,0.7264176777068605,0.48696809861254187,0.63412434605169,73.64090585911528,1.0,7.935403465125692,7.68971269021852,0.03404255319148936,0.9401197604790419,0.9299256828086407,0.8609756097560975,0.8620855371427453,0.8848614072494669,0.8938975469984501,0.8953189258282022,0.895302922316612
6,0.09772317379748974,0.0,0.0,0.0,0.6875339497911169,0.5625886702791173,0.7234129871535846,61.6191103833787,1.0,6.443284152783326,6.424459245150698,0.01702127659574468,0.9580838323353293,0.9491753155618702,0.9121951219512195,0.9173720174449693,0.9616204690831557,0.9657419451267655,0.9439664744565682,0.9440964260445351
7,0.08718283972814382,0.0,0.0,0.0,0.7068398856102152,0.5342198743465099,0.7936792189566058,78.13413430071891,1.0,6.442594861386736,6.273324368282056,0.01702127659574468,0.9670658682634731,0.9617999292740353,0.9048780487804878,0.9062320453693834,0.929637526652452,0.9349438233071813,0.9338604812321377,0.9343252659835333
8,0.08126524075196358,0.0,0.0,0.0,0.7005899921376655,0.5174645559584841,0.847682878098508,64.8065286839262,1.0,5.954822484174234,5.926028301803807,0.01276595744680851,0.9640718562874252,0.9564747606402976,0.8780487804878049,0.8822758583772705,0.9317697228144989,0.9382256481946752,0.924630119863243,0.9256587557374144
9,0.0781192420839711,0.0,0.0,0.0,0.6986967634647451,0.5396276755535856,0.8884369799983396,74.02246556383498,1.0,5.554924871664886,5.543837894213363,0.00425531914893617,0.9461077844311377,0.9415802237807999,0.848780487804878,0.8488822401967362,0.9445628997867804,0.9514465899718172,0.9131503906742654,0.9139696846497843
10,0.05861539521596414,0.0,0.0,0.0,0.6972307078381802,0.5340425692974253,0.9187700403367796,72.41380702891249,1.0,5.149029568483953,5.149029568483953,0.0,0.9580838323353293,0.9524783289405404,0.8926829268292683,0.8888121242389265,0.9147121535181236,0.9171750598818268,0.9218263042275737,0.9194885043537645
11,0.05886507905088365,0.0,0.0,0.0,0.6889471416777753,0.561081576981443,0.9411150795435099,74.20085088851604,1.0,5.342833190524573,5.234037316535866,0.029787234042553193,0.9550898203592815,0.9452445893264876,0.9097560975609756,0.9052379161150496,0.9445628997867804,0.9524629730350066,0.9364696059023458,0.9343151594921811
