epoch,classification_loss,alignment_loss,domain_loss,domain_accuracy,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1
1,0.48365250310682234,0.3357730023404385,0.0,0.0,0.9491017964071856,0.9369607064385572,0.8634146341463415,0.8657273603220619,0.8997867803837953,0.9053525440230412,0.9041010703124407,0.9026802035945535
2,0.19257861856925995,0.2542914715219051,0.0,0.0,0.9640718562874252,0.9570445598255314,0.8365853658536585,0.8397902453953742,0.9147121535181236,0.9222440112894221,0.9051231252197357,0.9063596055034425
3,0.14266068240667276,0.22615680187306506,0.0,0.0,0.9700598802395209,0.9639582325957197,0.8951219512195122,0.888503804303803,0.9232409381663113,0.9241842749112509,0.9294742565417815,0.9255487706035912
4,0.11216333993175562,0.22783949831698802,0.0,0.0,0.9700598802395209,0.9644062425406028,0.8219512195121951,0.8303645588698266,0.8891257995735607,0.8978134917652048,0.8937122997750923,0.8975280977252114
5,0.08551846732177396,0.21181045745281463,0.0,0.0,0.9640718562874252,0.9566502954744218,0.8878048780487805,0.8896037912844924,0.929637526652452,0.9359678846459168,0.9271714203295526,0.9274073238016104
6,0.0469666128273449,0.1973660154545561,0.0,0.0,0.9670658682634731,0.9632957487268721,0.926829268292683,0.9249528840769102,0.9189765458422174,0.9241315361526367,0.9376238941327912,0.9374600563188062
7,0.05135798959440473,0.19562464572013694,0.0,0.0,0.9610778443113772,0.9537560011831093,0.9073170731707317,0.9040421891016445,0.9402985074626866,0.9464813079270015,0.9362311416482653,0.9347598327372517
8,0.06871672067097685,0.2044850318989855,0.0,0.0,0.9640718562874252,0.9572171493353759,0.8463414634146341,0.8452496910647144,0.9445628997867804,0.9510560073998718,0.9183254064962799,0.917840949266654
9,0.05148812846114681,0.20153996893700132,0.0,0.0,0.9730538922155688,0.970633546347832,0.9121951219512195,0.9138431369464867,0.9211087420042644,0.928497157029432,0.9354525853903509,0.9376579467745835
