epoch,learning_rate,loss,known_ce,classifier_placeholder,data_placeholder,validation_accuracy
53,0.04686047402353437,0.19158981680340237,0.19158981680340237,0.0,0.0,0.8768
54,0.045294584334074316,0.18484588174819946,0.18484588174819946,0.0,0.0,0.8934
55,0.043733338321784825,0.17973228483200074,0.17973228483200074,0.0,0.0,0.902
56,0.042178276747988484,0.175774385854933,0.175774385854933,0.0,0.0,0.8988
57,0.0406309342707138,0.16068289760748544,0.16068289760748544,0.0,0.0,0.8966
58,0.039092837930172916,0.15538500080373552,0.15538500080373552,0.0,0.0,0.891
59,0.037565505641757285,0.1525117084900538,0.1525117084900538,0.0,0.0,0.8804
60,0.03605044469803857,0.14752432261572943,0.14752432261572943,0.0,0.0,0.8856
61,0.034549150281252675,0.13861194724109438,0.13861194724109438,0.0,0.0,0.8944
62,0.03306310398773546,0.13439386591116587,0.13439386591116587,0.0,0.0,0.8916
63,0.031593772365766146,0.12212055484188927,0.12212055484188927,0.0,0.0,0.9124
64,0.030142605468260992,0.11793802063994938,0.11793802063994938,0.0,0.0,0.9066
65,0.028711035421746394,0.11294761221806209,0.11294761221806209,0.0,0.0,0.9044
66,0.027300475013022688,0.10896512118975321,0.10896512118975321,0.0,0.0,0.8648
67,0.025912316294914254,0.09805564521816042,0.09805564521816042,0.0,0.0,0.9154
68,0.02454792921248146,0.08962820885181427,0.08962820885181427,0.0,0.0,0.9182
69,0.02320866025105018,0.08744284697638617,0.08744284697638617,0.0,0.0,0.9144
70,0.021895831107393487,0.07954043489164776,0.07954043489164776,0.0,0.0,0.91
71,0.02061073738537637,0.07432074795034196,0.07432074795034196,0.0,0.0,0.9174
72,0.01935464731735119,0.059651268062326644,0.059651268062326644,0.0,0.0,0.9084
73,0.018128800512565532,0.06326582255363464,0.06326582255363464,0.0,0.0,0.922
74,0.016934406733817433,0.056803071672386594,0.056803071672386594,0.0,0.0,0.9204
75,0.01577264470356558,0.047960961796840035,0.047960961796840035,0.0,0.0,0.9242
76,0.014644660940672643,0.03592814561492867,0.03592814561492867,0.0,0.0,0.9258
77,0.013551568628929448,0.03483112003538344,0.03483112003538344,0.0,0.0,0.9298
78,0.012494446518477033,0.03426694466074308,0.03426694466074308,0.0,0.0,0.9292
79,0.011474337861210555,0.02482026501264837,0.02482026501264837,0.0,0.0,0.9386
80,0.01049224938121549,0.019450901428196166,0.019450901428196166,0.0,0.0,0.9332
81,0.009549150281252642,0.018357360894978046,0.018357360894978046,0.0,0.0,0.9412
82,0.008645971286271922,0.011668115565677484,0.011668115565677484,0.0,0.0,0.9448
83,0.007783603724899264,0.010335163135826587,0.010335163135826587,0.0,0.0,0.9432
84,0.006962898649802819,0.007769732110616234,0.007769732110616234,0.0,0.0,0.943
85,0.0061846659978068265,0.0071141396933131745,0.0071141396933131745,0.0,0.0,0.945
