epoch,classification_loss,sam_perturbed_classification_loss,mmd_loss,mmd_photo__art_painting,mmd_photo__cartoon,mmd_art_painting__cartoon,mmd_median_photo__art_painting,mmd_median_photo__cartoon,mmd_median_art_painting__cartoon,mmd_off_diagonal_zeros_photo__art_painting,mmd_off_diagonal_zeros_photo__cartoon,mmd_off_diagonal_zeros_art_painting__cartoon,sam_first_gradient_norm,sam_perturbation_norm,gradient_norm,gradient_norm_after_clipping,gradient_clipped_fraction,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1,worst_source_accuracy,worst_source_macro_f1
1,0.6913075712132961,0.0,0.36849919361002903,0.36514773064471306,0.3784337175653336,0.3619161017397617,0.02841254937390678,0.030206156911779233,0.026499499046575635,0.0,0.0,0.0,0.0,0.0,156.74665279847343,19.747557823262827,0.9531914893617022,0.8502994011976048,0.8108716574898623,0.7219512195121951,0.7169002107228141,0.7228144989339019,0.6836009457036464,0.7650217065479006,0.7371242713054409,0.7219512195121951,0.6836009457036464
2,0.5207699305833654,0.0,0.3360983929101457,0.33889851367219964,0.3416424162844394,0.3277542195421584,0.0003288633178949277,0.00032760673416208755,0.0003170068077297208,0.0,0.0,0.0,0.0,0.0,326.1814487594836,20.000000105087985,1.0,0.9281437125748503,0.9097972365632245,0.7902439024390244,0.7855829094836145,0.8528784648187633,0.8565306208837671,0.857088693277546,0.8506369223102022,0.7902439024390244,0.7855829094836145
3,0.44348161052516166,0.0,0.3229661781737145,0.31776839215704733,0.329932430957226,0.32119768122409253,0.0001658893228097363,0.00016748143596564757,0.00016146047979573463,0.0,0.0,0.0,0.0,0.0,391.0778749462217,19.999999930330887,1.0,0.9461077844311377,0.9342793504172562,0.8048780487804879,0.8051965091232748,0.8699360341151386,0.8685100408435343,0.8736406224422547,0.8693286334613551,0.8048780487804879,0.8051965091232748
4,0.4274475887576316,0.0,0.3273807491393799,0.32447044595758967,0.32865759666929856,0.32901417651075,0.00010454543896249813,0.00010382181804124365,0.00010331005959937528,0.0,0.0,0.0,0.0,0.0,487.05399472184837,20.00000005330805,1.0,0.9251497005988024,0.9107195953070982,0.8292682926829268,0.8264178249557851,0.8528784648187633,0.8656022883657214,0.8690988193668309,0.8675799028762016,0.8292682926829268,0.8264178249557851
5,0.4172554403464211,0.0,0.3231251248653899,0.32197403400502306,0.3282216954738536,0.31917961709042814,7.098423463522773e-05,7.143627984252351e-05,6.985435399481968e-05,0.0,0.0,0.0,0.0,0.0,562.7761183677147,20.000000062586928,1.0,0.8892215568862275,0.8686695360725697,0.7902439024390244,0.7882469670586264,0.7611940298507462,0.7630066642823605,0.8135531630586662,0.8066410558045188,0.7611940298507462,0.7630066642823605
6,0.3735283484167241,0.0,0.3146496427185992,0.3102013243005631,0.3124332559869645,0.321314322694819,6.613509887098731e-05,6.698466784152341e-05,6.504465605719312e-05,0.0,0.0,0.0,0.0,0.0,571.8625314976791,19.99999992945105,1.0,0.7305389221556886,0.6249896257729051,0.6390243902439025,0.5711487131002791,0.603411513859275,0.5231699091819337,0.657658275419622,0.5731027493517059,0.603411513859275,0.5231699091819337
7,0.41729605763437266,0.0,0.32342939186603464,0.31979716483582843,0.33370638908223904,0.31678459289226124,5.573828363614008e-05,5.609140461409821e-05,5.46738801897439e-05,0.0,0.0,0.0,0.0,0.0,632.9136416134452,20.000000022496316,1.0,0.8173652694610778,0.7663642709438944,0.6804878048780488,0.6377349451310967,0.7590618336886994,0.7215075531772148,0.7523049693426086,0.7085355897507354,0.6804878048780488,0.6377349451310967
8,0.41914574302178115,0.0,0.3173471133759681,0.3077168900915917,0.33056176774045254,0.3137626566785447,4.143589026267712e-05,4.101600052889169e-05,4.063457601002115e-05,0.0,0.0,0.0,0.0,0.0,782.3105016970841,20.00000000720468,1.0,0.8982035928143712,0.8698048749280277,0.7878048780487805,0.7456636423447062,0.8656716417910447,0.8256221251138854,0.8505600375513988,0.8136968807955398,0.7878048780487805,0.7456636423447062
