epoch,learning_rate,loss,known_ce,classifier_placeholder,data_placeholder,validation_accuracy
1,0.1,2.1657937552769977,2.1657937552769977,0.0,0.0,0.3146
2,0.09997532801828658,1.6728597863515218,1.6728597863515218,0.0,0.0,0.4962
3,0.09990133642141358,1.3653261582904392,1.3653261582904392,0.0,0.0,0.5796
4,0.099778098230154,1.1302276084370084,1.1302276084370084,0.0,0.0,0.65
5,0.0996057350657239,0.9498832430733575,0.9498832430733575,0.0,0.0,0.6274
6,0.09938441702975688,0.828672554397583,0.828672554397583,0.0,0.0,0.7472
7,0.09911436253643444,0.7585914546012879,0.7585914546012879,0.0,0.0,0.7482
8,0.09879583809693737,0.7016294496430291,0.7016294496430291,0.0,0.0,0.7554
9,0.09842915805643156,0.6821857802073161,0.6821857802073161,0.0,0.0,0.6918
10,0.09801468428384716,0.6626261383480496,0.6626261383480496,0.0,0.0,0.7626
11,0.09755282581475769,0.6298969925562541,0.6298969925562541,0.0,0.0,0.7952
12,0.09704403844771128,0.6166634063614739,0.6166634063614739,0.0,0.0,0.7428
13,0.09648882429441258,0.5965158797899882,0.5965158797899882,0.0,0.0,0.7836
14,0.09588773128419906,0.5865987628830803,0.5865987628830803,0.0,0.0,0.7748
15,0.09524135262330098,0.575958407772912,0.575958407772912,0.0,0.0,0.7978
16,0.0945503262094184,0.5561104240523445,0.5561104240523445,0.0,0.0,0.8274
17,0.09381533400219319,0.5446318655543857,0.5446318655543857,0.0,0.0,0.836
18,0.0930371013501972,0.5379328842057122,0.5379328842057122,0.0,0.0,0.7648
19,0.09221639627510078,0.5334168242348565,0.5334168242348565,0.0,0.0,0.7824
20,0.09135402871372812,0.5185349273787604,0.5185349273787604,0.0,0.0,0.82
21,0.09045084971874741,0.5107459894922044,0.5107459894922044,0.0,0.0,0.8252
22,0.08950775061878455,0.5085946038246155,0.5085946038246155,0.0,0.0,0.7998
23,0.0885256621387895,0.49463934745788574,0.49463934745788574,0.0,0.0,0.8252
24,0.08750555348152302,0.4816633962313334,0.4816633962313334,0.0,0.0,0.8082
25,0.08644843137107061,0.48765025247997706,0.48765025247997706,0.0,0.0,0.7972
26,0.0853553390593274,0.4803114875157674,0.4803114875157674,0.0,0.0,0.765
27,0.08422735529643446,0.4800386805905236,0.4800386805905236,0.0,0.0,0.8396
28,0.08306559326618262,0.4675776491906908,0.4675776491906908,0.0,0.0,0.84
29,0.08187119948743452,0.45815214058028325,0.45815214058028325,0.0,0.0,0.8566
30,0.08064535268264886,0.4524068773746491,0.4524068773746491,0.0,0.0,0.8332
31,0.0793892626146237,0.45482660925123425,0.45482660925123425,0.0,0.0,0.86
32,0.07810416889260657,0.4446733414967855,0.4446733414967855,0.0,0.0,0.8494
33,0.07679133974894986,0.4405181879043579,0.4405181879043579,0.0,0.0,0.8474
34,0.0754520707875186,0.43563795080184936,0.43563795080184936,0.0,0.0,0.8582
35,0.0740876837050858,0.4247876597298516,0.4247876597298516,0.0,0.0,0.8568
36,0.07269952498697738,0.42208830749723647,0.42208830749723647,0.0,0.0,0.808
37,0.07128896457825366,0.42470970854229395,0.42470970854229395,0.0,0.0,0.8572
38,0.06985739453173906,0.4090832876205444,0.4090832876205444,0.0,0.0,0.8526
39,0.06840622763423394,0.41167033546765647,0.41167033546765647,0.0,0.0,0.835
40,0.06693689601226462,0.4073578619427151,0.4073578619427151,0.0,0.0,0.8724
41,0.06545084971874741,0.39400709451039634,0.39400709451039634,0.0,0.0,0.8768
42,0.06394955530196152,0.38240336719089085,0.38240336719089085,0.0,0.0,0.8674
43,0.062434494358242776,0.38495311476389565,0.38495311476389565,0.0,0.0,0.844
44,0.06090716206982718,0.3717081697622935,0.3717081697622935,0.0,0.0,0.8618
45,0.05936906572928628,0.3668876141230265,0.3668876141230265,0.0,0.0,0.8704
46,0.05782172325201159,0.36768214746051364,0.36768214746051364,0.0,0.0,0.8616
47,0.056266661678215264,0.35916680504480997,0.35916680504480997,0.0,0.0,0.8812
48,0.05470541566592575,0.3509776017189026,0.3509776017189026,0.0,0.0,0.8776
49,0.053139525976465714,0.34773272625605267,0.34773272625605267,0.0,0.0,0.896
50,0.05157053795390645,0.34463190265231664,0.34463190265231664,0.0,0.0,0.8638
51,0.05000000000000004,0.33675346550941465,0.33675346550941465,0.0,0.0,0.8772
52,0.04842946204609362,0.3275268108526866,0.3275268108526866,0.0,0.0,0.8694
53,0.04686047402353437,0.32113713186581927,0.32113713186581927,0.0,0.0,0.8906
54,0.045294584334074316,0.32402673829396567,0.32402673829396567,0.0,0.0,0.8958
55,0.043733338321784825,0.30468307817776996,0.30468307817776996,0.0,0.0,0.9028
56,0.042178276747988484,0.29925482046339247,0.29925482046339247,0.0,0.0,0.8888
57,0.0406309342707138,0.2924866762161255,0.2924866762161255,0.0,0.0,0.8976
58,0.039092837930172916,0.28643944801754423,0.28643944801754423,0.0,0.0,0.8716
59,0.037565505641757285,0.28388932523727417,0.28388932523727417,0.0,0.0,0.8982
60,0.03605044469803857,0.27495012273258634,0.27495012273258634,0.0,0.0,0.8968
61,0.034549150281252675,0.26577576094733346,0.26577576094733346,0.0,0.0,0.8886
62,0.03306310398773546,0.2554257704469893,0.2554257704469893,0.0,0.0,0.8984
63,0.031593772365766146,0.24441516046524048,0.24441516046524048,0.0,0.0,0.9128
