epoch,classification_loss,mmd_loss,mmd_median_squared_distance,mmd_off_diagonal_zero_count,domain_loss,domain_accuracy,grl_strength,adversarial_feature_norm_before,adversarial_feature_norm_after,gradient_norm,gradient_norm_after_clipping,gradient_clipped_fraction,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1
1,0.46599804606843503,0.0,0.0,0.0,0.6368944888419293,0.7687056932043522,0.08261060619425821,44.095691096529045,1.0,11.731414086208188,11.524088106479326,0.04680851063829787,0.9191616766467066,0.9045978095680389,0.848780487804878,0.8439827873638207,0.8805970149253731,0.8942592111063868,0.8828463931256526,0.8809466026794155
2,0.21607688027929436,0.0,0.0,0.0,0.7247332210236407,0.3896276705759637,0.24408743014437986,49.8353844338275,1.0,9.374653358886759,9.287550401353467,0.03404255319148936,0.9431137724550899,0.9319419579757239,0.8804878048780488,0.8752488917459335,0.908315565031983,0.9103872528349611,0.9106390474550405,0.9058593675188727
3,0.13851319206185006,0.0,0.0,0.0,0.6949552642538193,0.5099290936551195,0.3931000373577079,49.269161906140916,1.0,7.182063635957658,7.175360599363126,0.00851063829787234,0.9221556886227545,0.904690434505255,0.8439024390243902,0.8385178387465263,0.8869936034115139,0.8906975997808156,0.8843505770195529,0.877968624344199
4,0.12100053114204747,0.0,0.0,0.0,0.6905285074355755,0.5061170344022994,0.5240079056454343,51.07251534969249,1.0,7.109608200700722,7.088147077254024,0.00851063829787234,0.9760479041916168,0.9716028347963171,0.9097560975609756,0.9069473041373124,0.9253731343283582,0.932014401855431,0.9370590453603169,0.936854846929687
5,0.09389359364682373,0.0,0.0,0.0,0.6902644636783194,0.5617021426241449,0.63412434605169,55.11693920378989,1.0,6.211894878940432,6.191737021261961,0.01276595744680851,0.9491017964071856,0.9417951743983994,0.8731707317073171,0.870375759924384,0.9125799573560768,0.9204406909492537,0.9116174951568597,0.9108705417573457
6,0.10143200549435742,0.0,0.0,0.0,0.6920423525445005,0.5059397306848079,0.7234129871535846,54.34596015443193,1.0,6.606850184170689,6.605592441184163,0.00425531914893617,0.9610778443113772,0.95495665893106,0.8951219512195122,0.8934405666595342,0.9530916844349681,0.9569838586307764,0.9364304933219524,0.9351270280737901
7,0.06789576640758822,0.0,0.0,0.0,0.6913577224345917,0.5102837048946542,0.7936792189566058,62.688131437910364,1.0,5.655666841345443,5.630042480453287,0.01276595744680851,0.9670658682634731,0.9615747701282746,0.8780487804878049,0.8744162340760939,0.9104477611940298,0.9204060075480377,0.9185208033151026,0.9187990039174688
8,0.057884651976231945,0.0,0.0,0.0,0.691583063247356,0.5253546236677372,0.847682878098508,62.54278335571289,1.0,5.11429055562524,5.072646268504218,0.01276595744680851,0.9461077844311377,0.9378181757338853,0.8926829268292683,0.88493740413623,0.9147121535181236,0.9189955468237334,0.91783428825951,0.913917042231283
9,0.06106519680506221,0.0,0.0,0.0,0.6985688536725145,0.44414894986659925,0.8884369799983396,67.62371566447806,1.0,4.954813902613484,4.898119168878659,0.00851063829787234,0.9670658682634731,0.9645332198912147,0.9097560975609756,0.9105336987673406,0.9424307036247335,0.9475555113060642,0.939750889816394,0.9408741433215398
10,0.04638169890633745,0.0,0.0,0.0,0.6957721869996254,0.4748227095984398,0.9187700403367796,61.086288257355385,1.0,4.251921868325007,4.2173793816233145,0.00851063829787234,0.9760479041916168,0.9717492643968982,0.8414634146341463,0.8405977689812277,0.906183368869936,0.9172812287527382,0.9078982292318997,0.9098760873769547
11,0.047061588793618055,0.0,0.0,0.0,0.6915634241509945,0.5226950503410177,0.9411150795435099,65.80222914675448,1.0,4.170822340309395,4.150774509253762,0.00851063829787234,0.9041916167664671,0.8858165699530184,0.8682926829268293,0.8681738682220222,0.9339019189765458,0.9428211211680765,0.9021287395566141,0.8989371864477057
12,0.05857671488084498,0.0,0.0,0.0,0.6925706148147583,0.5113475342380239,0.9574508288991135,63.34689915433843,1.0,4.929495915073849,4.833373155972754,0.02127659574468085,0.9461077844311377,0.9375602570555585,0.8560975609756097,0.8472831656444016,0.9339019189765458,0.9367036348987358,0.9120357547944312,0.9071823525328986
13,0.044322436413065276,0.0,0.0,0.0,0.6964778666800641,0.4704787384322349,0.9693269789941824,66.22236751799888,1.0,4.167440172370889,4.129718293450771,0.00851063829787234,0.9640718562874252,0.9570577620034302,0.8926829268292683,0.8923170754018729,0.9445628997867804,0.9481543795969566,0.9337725609678246,0.9325097390007532
14,0.054826574823737054,0.0,0.0,0.0,0.6945659256995993,0.5093085261101419,0.9779260190192294,69.76462955880672,1.0,4.869780597707446,4.75639512975461,0.02127659574468085,0.9520958083832335,0.9444939919496717,0.8682926829268293,0.8615370483442221,0.9147121535181236,0.9162783157396113,0.9117002149427288,0.9074364520111683
