epoch,classification_loss,sam_perturbed_classification_loss,mmd_loss,mmd_photo__art_painting,mmd_photo__cartoon,mmd_art_painting__cartoon,mmd_median_photo__art_painting,mmd_median_photo__cartoon,mmd_median_art_painting__cartoon,mmd_off_diagonal_zeros_photo__art_painting,mmd_off_diagonal_zeros_photo__cartoon,mmd_off_diagonal_zeros_art_painting__cartoon,sam_first_gradient_norm,sam_perturbation_norm,gradient_norm,gradient_norm_after_clipping,gradient_clipped_fraction,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1,worst_source_accuracy,worst_source_macro_f1
1,0.7534760962458367,1.0632203207371083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.444643391380686,0.050000000058279356,7.728617180389222,7.656049254212039,0.01702127659574468,0.9311377245508982,0.9203561779457294,0.8463414634146341,0.8455485814260536,0.8912579957356077,0.9014925028187964,0.8895790612337132,0.8891324207301933,0.8463414634146341,0.8455485814260536
2,0.2574148580590461,0.5123061679779215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.248338549199153,0.050000000077405723,6.5260160394596145,6.5260160394596145,0.0,0.9461077844311377,0.940306031140966,0.8902439024390244,0.8932371551299961,0.9125799573560768,0.9239201937324074,0.9163105480754129,0.9191544600011232,0.8902439024390244,0.8932371551299961
3,0.15725195358725305,0.3621629495887046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.276276938480648,0.04999999991283209,5.394408976325234,5.394408976325234,0.0,0.9670658682634731,0.9601451925134976,0.9,0.9002584870233108,0.9360341151385928,0.9420807177046581,0.934366661134022,0.9341614657471555,0.9,0.9002584870233108
4,0.13638136690442867,0.3386828919357442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.010371817927611,0.049999999861574766,5.489890534440858,5.489181384955367,0.00425531914893617,0.9790419161676647,0.9741551570122998,0.9121951219512195,0.9131617618880572,0.9360341151385928,0.9386312661386274,0.9424237177524923,0.9419827283463281,0.9121951219512195,0.9131617618880572
5,0.09386641662766007,0.2548598457524117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.358753113322228,0.05000000015842287,4.41594288564071,4.41594288564071,0.0,0.9790419161676647,0.9757921211248675,0.9243902439024391,0.9236855934108259,0.9573560767590619,0.9626644675708457,0.9535960789430552,0.9540473940355131,0.9243902439024391,0.9236855934108259
6,0.05588095326699871,0.19018745701363746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7555149322406765,0.05000000010227861,3.96992186328941,3.96992186328941,0.0,0.9700598802395209,0.9642872560759963,0.9097560975609756,0.9080633051765924,0.9530916844349681,0.9566733402283462,0.9443025540784883,0.9430079671603117,0.9097560975609756,0.9080633051765924
7,0.043130340659495524,0.16349299547282306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4603762365855315,0.050000000090716326,3.636793460252946,3.636793460252946,0.0,0.9790419161676647,0.9759799800441439,0.9121951219512195,0.9082107683585815,0.9381663113006397,0.9416439214760386,0.9431344498065081,0.941944889959588,0.9121951219512195,0.9082107683585815
8,0.03836439659303807,0.16913846526691254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4329979994034223,0.04999999996017447,4.043627433575977,4.043627433575977,0.0,0.9730538922155688,0.9684198206515989,0.9146341463414634,0.9157397453551221,0.9445628997867804,0.9436647802232587,0.9440836461146042,0.9426081154099931,0.9146341463414634,0.9157397453551221
9,0.03024589684098325,0.1458585123511705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2183244626886405,0.050000000017100685,3.7393262645144554,3.7393262645144554,0.0,0.9670658682634731,0.9621884756488909,0.9170731707317074,0.9178827089020685,0.9552238805970149,0.9605668698542369,0.9464543065307317,0.9468793514683987,0.9170731707317074,0.9178827089020685
10,0.019596736143749367,0.1190266845192998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8934751025918735,0.049999999998705594,3.4527723039804346,3.4527723039804346,0.0,0.9730538922155688,0.9683173348707209,0.9195121951219513,0.9201004817502947,0.9488272921108742,0.9528185237213034,0.9471311264827982,0.9470787801141064,0.9195121951219513,0.9201004817502947
