epoch,classification_loss,mmd_loss,mmd_median_squared_distance,mmd_off_diagonal_zero_count,domain_loss,domain_accuracy,grl_strength,gradient_norm,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1
1,1.8832053874401335,0.1906153293366128,6.871795920841589,0.0,0.0,0.0,0.0,45.387631051690725,0.16766467065868262,0.041025641025641026,0.14390243902439023,0.035942735303076456,0.12366737739872068,0.0314448359989157,0.14507816236059787,0.03613773744254439
2,1.9371831827975334,0.17566565249828583,4.230386901355737e-06,0.0,0.0,0.0,0.0,112.32430555775383,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.05066996495567924
3,1.9314145722287765,0.1718203088070484,1.3041785525650597e-05,0.0,0.0,0.0,0.0,123.1494454109229,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.05066996495567924
4,1.926008558780589,0.20119334180304344,3.478779686575797e-05,0.0,0.0,0.0,0.0,159.9721188823754,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.05066996495567924
5,1.9205945167135685,0.1886871003090067,7.713197531573198e-05,0.0,0.0,0.0,0.0,28.54334540366571,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.05066996495567924
6,1.9164301496870975,0.15202270061411757,2.408870849397685e-05,0.0,0.0,0.0,0.0,32.16713446581482,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.05066996495567924
7,1.9249423899549118,0.1784865440206325,8.302051020397347e-07,0.0,0.0,0.0,0.0,130.91235566318204,0.25748502994011974,0.058503401360544216,0.21951219512195122,0.05142857142857143,0.17270788912579957,0.04207792207792208,0.21656837139595686,0.05066996495567924
