epoch,classification_loss,alignment_loss,domain_loss,domain_accuracy,photo_accuracy,photo_macro_f1,art_painting_accuracy,art_painting_macro_f1,cartoon_accuracy,cartoon_macro_f1,mean_source_accuracy,mean_source_macro_f1
1,0.48365250310682234,0.3357730023404385,0.0,0.0,0.9491017964071856,0.9369607064385572,0.8634146341463415,0.8657273603220619,0.8997867803837953,0.9053525440230412,0.9041010703124407,0.9026802035945535
2,0.19257861856925995,0.2542914715219051,0.0,0.0,0.9640718562874252,0.9570445598255314,0.8365853658536585,0.8397902453953742,0.9147121535181236,0.9222440112894221,0.9051231252197357,0.9063596055034425
3,0.14266068240667276,0.22615680187306506,0.0,0.0,0.9700598802395209,0.9639582325957197,0.8951219512195122,0.888503804303803,0.9232409381663113,0.9241842749112509,0.9294742565417815,0.9255487706035912
4,0.11216333993175562,0.22783949831698802,0.0,0.0,0.9700598802395209,0.9644062425406028,0.8219512195121951,0.8303645588698266,0.8891257995735607,0.8978134917652048,0.8937122997750923,0.8975280977252114
5,0.08551846732177396,0.21181045745281463,0.0,0.0,0.9640718562874252,0.9566502954744218,0.8878048780487805,0.8896037912844924,0.929637526652452,0.9359678846459168,0.9271714203295526,0.9274073238016104
6,0.0469666128273449,0.1973660154545561,0.0,0.0,0.9670658682634731,0.9632957487268721,0.926829268292683,0.9249528840769102,0.9189765458422174,0.9241315361526367,0.9376238941327912,0.9374600563188062
7,0.05135798959440473,0.19562464572013694,0.0,0.0,0.9610778443113772,0.9537560011831093,0.9073170731707317,0.9040421891016445,0.9402985074626866,0.9464813079270015,0.9362311416482653,0.9347598327372517
8,0.06871672067097685,0.2044850318989855,0.0,0.0,0.9640718562874252,0.9572171493353759,0.8463414634146341,0.8452496910647144,0.9445628997867804,0.9510560073998718,0.9183254064962799,0.917840949266654
9,0.05148812846114681,0.20153996893700132,0.0,0.0,0.9730538922155688,0.970633546347832,0.9121951219512195,0.9138431369464867,0.9211087420042644,0.928497157029432,0.9354525853903509,0.9376579467745835
10,0.05912264844704855,0.19569155510435712,0.0,0.0,0.9401197604790419,0.9302819575417447,0.9,0.8946583755460751,0.9509594882729211,0.9539569380578621,0.9303597495839876,0.9262990903818938
11,0.05676685583980833,0.19410860538482666,0.0,0.0,0.9580838323353293,0.9518998999242341,0.8878048780487805,0.8858663595547942,0.9381663113006397,0.9431185494922377,0.9280183405615832,0.926961602990422
12,0.03400033278232242,0.1851741445825455,0.0,0.0,0.9670658682634731,0.9620377450739986,0.8975609756097561,0.8899968331416236,0.9530916844349681,0.9578609063486541,0.9392395094360658,0.9366318281880921
13,0.01264478177138099,0.1788996250071424,0.0,0.0,0.9730538922155688,0.9686324809326837,0.9097560975609756,0.9111373820589262,0.9573560767590619,0.9607248980134676,0.9467220221785354,0.9468315870016926
14,0.006604038300847218,0.17428501514678305,0.0,0.0,0.9790419161676647,0.9754663006418721,0.9195121951219513,0.9201880037137392,0.9616204690831557,0.9659966173281971,0.953391526790924,0.9538836405612695
15,0.0034931393122260876,0.1702087493652993,0.0,0.0,0.9790419161676647,0.975020408358935,0.9365853658536586,0.9379945003516469,0.9658848614072495,0.9693801616512887,0.9605040478095243,0.9607983567872903
16,0.002822829680665931,0.17103765163015813,0.0,0.0,0.9760479041916168,0.9713268392379916,0.9317073170731708,0.928859811405068,0.9594882729211087,0.9640454740207346,0.9557478313952988,0.9547440415545981
17,0.0027666167792012083,0.16915673296502295,0.0,0.0,0.9730538922155688,0.9676427416128627,0.9390243902439024,0.935139229538582,0.9637526652452025,0.9684710974527668,0.9586103159015579,0.9570843562014039
18,0.002679865226209005,0.16685134603622112,0.0,0.0,0.9760479041916168,0.9717197274250616,0.9341463414634147,0.9317520812607537,0.9637526652452025,0.9682394487106137,0.9579823036334113,0.9572370857988096
19,0.0025285148621596236,0.16709494286395135,0.0,0.0,0.9760479041916168,0.9722299750188618,0.9243902439024391,0.9242694870310155,0.9530916844349681,0.9570998327674493,0.951176610843008,0.9511997649391088
20,0.1332886736724833,0.2037913626812874,0.0,0.0,0.9041916167664671,0.8816342690436357,0.802439024390244,0.7916582251754006,0.9168443496801706,0.9234373914344458,0.8744916636122939,0.8655766285511607
